Matching_Date,predictions,true,optuna_score,train_acc,train p/l,directions,Directional P/L,ticker
2023-08-01,-0.002514100348909341,-0.012666713169642857,1.0,0.662839248434238,6.75543599066668,1.0,0.012666713169642857,360ONE.NS
2023-08-02,-0.012300337119950959,-0.027780387879113293,1.0,0.6819603753910324,7.9812373986387914,1.0,0.027780387879113293,360ONE.NS
2023-08-03,0.009001562889567036,-0.02081076645923503,1.0,0.659375,6.641371996694117,0.0,-0.02081076645923503,360ONE.NS
2023-08-04,-0.00642089948256533,0.02379029796969506,1.0,0.6878251821019771,8.091738017224463,0.0,-0.02379029796969506,360ONE.NS
2023-08-07,0.008637946126900335,-0.011985471966221817,0.0,0.6871101871101871,7.93350486435411,0.0,-0.011985471966221817,360ONE.NS
2023-08-08,-0.01322524350881792,0.004518640064771611,1.0,0.6687435098650052,7.867616871314681,0.0,-0.004518640064771611,360ONE.NS
2023-08-09,-0.012561338178735627,-0.016699040977700242,1.0,0.6680497925311203,7.863098231249909,1.0,0.016699040977700242,360ONE.NS
2023-08-10,-0.0009686994733805361,0.007703691647376543,1.0,0.6341968911917099,7.0411663413760355,0.0,-0.007703691647376543,360ONE.NS
2023-08-11,0.006243586461202229,0.010985729447645904,0.6666666666666666,0.6387163561076604,5.948019760475237,1.0,0.010985729447645904,360ONE.NS
2023-08-14,-0.0030708525281563687,-0.0036867439000963344,0.0,0.6773526370217167,8.117122422908148,1.0,0.0036867439000963344,360ONE.NS
2023-08-16,0.009389627464856182,0.0012631644867887228,1.0,0.6776859504132231,8.120809166808243,1.0,0.0012631644867887228,360ONE.NS
2023-08-17,0.0027598607602238477,-0.0025196002756311866,1.0,0.6501547987616099,6.993995885818141,0.0,-0.0025196002756311866,360ONE.NS
2023-08-18,-0.0011352045214495104,-0.014266315856689173,0.6666666666666666,0.6711340206185566,8.118837906821147,1.0,0.014266315856689173,360ONE.NS
2023-08-21,-0.01274785439868043,0.005980368221507353,1.0,0.6879505664263645,8.231159632178661,0.0,-0.005980368221507353,360ONE.NS
2023-08-22,-0.001902357753569201,-0.0029411764705882353,1.0,0.5802469135802469,2.908639180714545,1.0,0.0029411764705882353,360ONE.NS
2023-08-23,-0.0037243256472805856,0.004999486038619022,1.0,0.6392600205549845,7.082419045115879,0.0,-0.004999486038619022,360ONE.NS
2023-08-24,-0.015587978069573145,-0.0036965455526507783,1.0,0.6447638603696099,6.964334907776479,1.0,0.0036965455526507783,360ONE.NS
2023-08-25,-0.006721847321486083,-0.004784186303953424,1.0,0.5805128205128205,2.9102774166991647,1.0,0.004784186303953424,360ONE.NS
2023-08-28,-0.006327201732295283,-0.012499988079071045,1.0,0.6793032786885246,8.267517339971088,1.0,0.012499988079071045,360ONE.NS
2023-08-29,-0.0029756172645530907,0.003264728762189747,1.0,0.6796315250767656,8.280017328050159,0.0,-0.003264728762189747,360ONE.NS
2023-08-30,-0.004742230808557911,-0.01105673952345279,0.5,0.6758691206543967,8.021961791755242,1.0,0.01105673952345279,360ONE.NS
2023-08-31,0.00685071775937656,-0.03685769544759758,1.0,0.676200204290092,8.198563845003498,0.0,-0.03685769544759758,360ONE.NS
2023-09-01,-0.026936785226438914,-0.03456641536600427,1.0,0.6775510204081633,8.230977395917332,1.0,0.03456641536600427,360ONE.NS
2023-09-04,-0.0037858152800482026,0.02846281530988982,1.0,0.6738022426095821,8.306620936128187,0.0,-0.02846281530988982,360ONE.NS
2023-09-05,-0.003232911625110971,0.013459034132316828,1.0,0.654786150712831,7.281841701796051,0.0,-0.013459034132316828,360ONE.NS
2023-09-06,-0.01454003249359836,-0.025105787032389144,0.5,0.6897253306205493,8.203791890226997,1.0,0.025105787032389144,360ONE.NS
2023-09-07,-0.002393307860253668,-0.006867960263977924,1.0,0.5873983739837398,3.160553746018177,1.0,0.006867960263977924,360ONE.NS
2023-09-08,-0.007295696065225125,0.0007692342908283161,1.0,0.6588832487309645,6.919211887973849,0.0,-0.0007692342908283161,360ONE.NS
2023-09-11,-0.007981989845484436,0.03950855276760397,1.0,0.6815415821501014,8.054753547800043,0.0,-0.03950855276760397,360ONE.NS
